TITLE,Added,Native 4K,Upscaled 4K,HDR,Dolby Vision,Audio
The Dark Crystal,,Native 4K,,HDR,,Dolby Atmos True-HD
The Dark Knight,,Native 4K,,HDR,,5.1 DTS-HD-MA
The Dark Knight Rises,,Native 4K,,HDR,,5.1 DTS-HD-MA
The Dark Knight Trilogy,,Native 4K,,HDR,,5.1 DTS-HD-MA
The Dark Tower,,Native 4K,,HDR,,Dolby Atmos True-HD
The Darkest Minds,,,Upscaled 4K,HDR,,
The Day of the Beast (1995),,Native 4K,,HDR10,,DTS-HD MA 2.0
The Day The Earth Stood Still,,Native 4K,,,,
The Death Of Superman,,,Upscaled 4K,HDR10,,5.1 DTS-HD-MA
The Deer Hunter,,Native 4K,,HDR,,5.1 DTS-HD-MA
The Defenders,,Native 4K,,HDR,,7.1
The Disaster Artist,,,Upscaled 4K,HDR,,
The Divergent Series: Allegiant,,Native 4K,,HDR,,
The Divergent Series: Insurgent,,,Upscaled 4K,HDR,,7.1
The Doors (1991),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Edge of Tomorrow (2014) - Live Die Repeat,Nov 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Emoji Movie,,,Upscaled 4K,HDR,,
The Equalizer,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Equalizer 2,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Evil Dead (1981),,Native 4K,,HDR10,Dolby Vision,Dolby True-HD 5.1
The Expendables 3,,Native 4K,,HDR,,Dolby Atmos True-HD
The Fast and the Furious (2001),,Native 4K,,HDR10,,"DTS: X, 7.1 DTS HD-MA"
The Fast and the Furious Tokyo Drift (2006),,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
The Fate of the Furious (2017) - Fast & Furious 8,,,Upscaled 4K,HDR,Dolby Vision,"DTS: X, 7.1 DTS HD-MA"
The Fifth Element (1997),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Final Countdown (1980),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The First Purge (2018),Feb 2022,,Upscaled 4K,HDR10,,"DTS: X, 7.1 DTS HD-MA"
The Florida Project,,Native 4K,,,,
The Fog,,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Forever Purge (2021),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Funhouse (1981),Nov 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Gallows,,,Upscaled 4K,HDR,,
The Gentlemen (2019),,Native 4K,,HDR10,,7.1 DTS-HD-MA
The Get Down,,Native 4K,,,,
The Girl in the Spider's,,Native 4K,,HDR,,Dolby Atmos True-HD
The Girl on the Train,,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
The Godfather Trilogy (1972-1990),April 2022,Native 4K,,HDR10,Dolby Vision,Dolby True-HD 5.1
"The Godfather, Coda: The Death of Michael 
Corleone (1990)",Aug 2022,Native 4K,,HDR10,Dolby Vision,Dolby True-HD 5.1
The Good Dinosaur (2015),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
"The Good, the Bad and the Ugly (1966)",,Native 4K,,,,DTS-HD Master Audio 2.0 Mono
The Goonies (1985),,Native 4K,,HDR10,,5.1 DTS-HD-MA
The Great Escape (1963),May 2022,Native 4K,,,,DTS-HD Ma 2.0 Mono
The Great Gatsby,,,Upscaled 4K,HDR,,
The Great Wall,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Greatest Showman,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Green Knight (2021),Feb 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Green Mile (1999),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
The Grinch (2018),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Guns of Navarone (1961),Aug 2021,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
The Hitman’s Bodyguard,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Hobbit: An Unexpected Journey (2012),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Hobbit: The Battle of the Five Armies (2014),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Hobbit: The Desolation of Smaug (2013),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Holiday,,Native 4K,,,,
The House,,,Upscaled 4K,HDR,,
The House by the Cemetery (1981),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The House with a Clock in Its Walls,,,Upscaled 4K,HDR,,7.1 DTS-HD-MA
The Howling (1981),Jan 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
The Hunger Games,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Hunger Games: Catching Fire,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Hunger Games: Mockingjay Part 1,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Hunger Games: Mockingjay Part 2,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Hunt For Red October (1990),,Native 4K,,HDR,Dolby Vision,True-HD 5.1
The Huntsman: Winter’s War,,,Upscaled 4K,HDR,,7.1 DTS-HD-MA
The hurt Locker (2008),May 2022,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Incredible Hulk (2008),,,Upscaled 4K,HDR,Dolby Vision,"DTS: X, 7.1 DTS HD-MA"
The Incredibles (2004),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Intern,,,Upscaled 4K,HDR,,
The Invisible Man (1933),Aug 2022,Native 4K,,HDR10,,DTS-HD MA Mono
The Invisible Man (2020),,Native 4K,,HDR10+,,"Dolby Atmos, True-HD 7.1"
The Karate Kid (2010),,Native 4K,,,,
The Kid Who Would Be King (2019),Feb 2022,,Upscaled 4K,HDR10+,,"Dolby Atmos, True-HD 7.1"
The Kings Man (2021),May 2022,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Last Detail (1973),Aug 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA Mono
The Last Duel (2021),Feb 2022,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Last Waltz (1978),May 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
The Last Witch Hunter,,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
The Legend of Hercules,,,Upscaled 4K,HDR,,7.1
The Legend of Tarzan,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Lego Batman Movie (2017),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Lego Movie (2014),,,Upscaled 4K,HDR10,,5.1 DTS-HD-MA
The Lego Movie 2 (2019),Feb 2022,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Lego Ninjago Movie (2017),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Limey (1999),Aug 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
The Lincoln Lawyer,,,Upscaled 4K,HDR,,7.1
The Lion King (1994),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Lion King (2019),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Lord of the Rings: The Fellowship of the Ring,,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Lord of the Rings: The Return of the King,,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Lord of the Rings: The Two Towers,,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Lost World- Jurassic Park (1997),,Native 4K,,HDR,Dolby Vision,"DTS: X, 7.1 DTS HD-MA"
The Lover (1992),Jan 2022,Native 4K,,HDR10+,Dolby Vision,5.1 DTS-HD-MA
The Magnificent Seven (2016),,,Upscaled 4K,HDR,,7.1 DTS-HD-MA
The Man from U.N.C.L.E.,,,Upscaled 4K,HDR,,
The Man in the High Castle,,Native 4K,,HDR,,5.1 DTS-HD-MA
The Man Who Shot Liberty Valance (1962),May 2022,Native 4K,,HDR10,Dolby Vision,True-HD 5.1
The Many Saints of Newark (2021),Feb 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
"The Martian | CGI scenes shot
in 2K and upscaled",,Native 4K,,HDR,,7.1 DTS-HD-MA
"The Martian Extended | CGI scenes
shot in 2K and upscaled",,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Mask of Zorro (1998),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
The Matrix (1999),,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Matrix Reloaded (2003),,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Matrix Revolutions (2003),,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Matrix Resurrections (2021),April 2022,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Maze Runner,,,Upscaled 4K,HDR,,7.1
The Meg (2018),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Monuments Men,,,Upscaled 4K,,,
The Mountain Between Us,,,Upscaled 4K,HDR,,7.1
The Mummy (2017),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Natural,,Native 4K,,HDR,,
The Neon Demon,,,Upscaled 4K,,,5.1 DTS-HD-MA
The New Mutants (2020),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
The New York Ripper (1982),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
The Nice Guys,,,Upscaled 4K,HDR,,
The Northman (2022),June 2022,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Nun,,,Upscaled 4K,HDR,,
The Other Guys,,Native 4K,,,,
The Outpost (2020),,Native 4K,,,,5.1 DTS-HD-MA
The Patriot,,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
The Peanuts Movie,,,Upscaled 4K,HDR,,7.1
The Perfect Guy,,Native 4K,,,,
The Piano (1993),Jan 2022,Native 4K,,HDR & HDR10+,Dolby Vision,5.1 DTS-HD-MA
The Post,,Native 4K,,,,
The Power of the Dog (2021),Aug 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Predator (2018),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Prestige,,Native 4K,,HDR,,5.1 DTS-HD-MA
The Princess and the Frog,,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
The Princess Bride,,,Upscaled 4K,,,
The Protege (2021),Feb 2021,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Punisher (2004),May 2022,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Purge (2013),,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
The Purge: Anarchy (2014),,,Upscaled 4K,HDR,,"DTS: X, 7.1 DTS HD-MA"
The Purge: Election Year (2016),,,Upscaled 4K,HDR10,,"DTS: X, 7.1 DTS HD-MA"
The Quick and the Dead (1995),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
The Ranch,,Native 4K,,,,
The Return of the Living Dead (1985),Nov 2022,Native 4K,,HDR10,,DTS-HD MA 5.1
The Revenant,,Native 4K,,HDR,,7.1 DTS-HD-MA
The Running Man (1987),Aug 2022,Native 4K,,HDR10,Dolby Vision,7.1 DTS-HD-MA
The Sandlot,,,Upscaled 4K,,,
The Score (2001),Aug 2022,Native 4K,,HDR10,Dolby Vision,
The Secret Life of Pets,,,Upscaled 4K,HDR & HDR10,,"Dolby Atmos, True-HD 7.1"
The Secret Life of Pets 2 (2019),,,Upscaled 4K,HDR & HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Shallows,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Shape of Water,,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
The Shining (1980),,Native 4K,,HDR10+,Dolby Vision,DTS-HD MA 5.1
The Silence of The Lambs (1991),,Native 4K,,HDR,Dolby Vision,5.1 DTS-HD-MA
The Smurfs,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Smurfs 2,,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
The Snowman,,,Upscaled 4K,HDR,,7.1
The Spine of Night (2021),Feb 2022,Native 4K,,,,DTS-HD MA 5.1
The Star,,,Upscaled 4K,HDR,,7.1
The Sting (1973),,Native 4K,,HDR10,,DTS-HD MA 5.1
The Suicide Squad (2021),Feb 2022,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Sum Of All Fears (2002),,Native 4K,,HDR,Dolby Vision,True-HD 5.1
The Sword and the Sorcerer (1982),May 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 2.0
The Tax Collector (2019),Feb 2022,,Upscaled 4K,,,DTS-HD MA 5.1
The Ten Commandments (1956),July 2021,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
The Texas Chainsaw Massacre,,,Upscaled 4K,,,"Dolby Atmos, True-HD 7.1, AURO-3D, DTS-HD MA"
The Thing (1982),Jan 2022,Native 4K,,HDR10,,7.1 DTS-HD-MA
The Toolbox Murders (1978),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Tourist,,Native 4K,,,,
The Town (2010),,,Upscaled 4K,HDR,,DTS-HD MA 5.1
The Transformers (1986),Aug 2021,Native 4K,,HDR10,Dolby Vision,DTS-HD MA 5.1
The Trouble with Harry (1955),May 2022,Native 4K,,HDR10,,DTS-HD Master Audio 2.0 Mono
The Ugly Truth,,Native 4K,,,,
The Untouchables (1987),May 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
The Usual Suspects (1995),Aug 2022,Native 4K,,HDR10,Dolby Vision,
The Virgin Suicides (1999),June 2022,Native 4K,,HDR10,,5.1 DTS-HD MA
The Vow,,,Upscaled 4K,,,
The Walk,,,Upscaled 4K,,,
The Wedding Ringer,,Native 4K,,,,
The Witch (2015),April 2022,,Upscaled,HDR10,Dolby Vision,5.1 DTS-HD MA
The Wizard of Oz (1939),,Native 4K,,HDR10+,Dolby Vision,DTS-HD MA 5.1
The Wolf Man (1941),Aug 2022,Native 4K,,HDR10,,DTS-HD MA 2.0
The Wolf of Wall Street (2013),Aug 2021,Native 4K,,TBC,TBC,TBC
The Worlds End,,,Upscaled 4K,HDR10+,,"DTS:X, DTS-HD MA 7.1"
They Live (1988),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
This Is The End,,Native 4K,,,,
Thor (2011),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Thor: Ragnarok (2017),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Thor: The Dark World (2013),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Thor: Love and Thunder (2022),Nov 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
"Three Billboards Outside Ebbing, Missouri",,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Thriller: A Cruel Picture (1973),May 2022,Native 4K,,HDR10,,DTS-HD MA Mono
Tinker Tailor Soldier Spy (2011),May 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD MA
To Kill A Mockingbird (1962),Nov 2022,Native 4K,,HDR10,,5.1 DTS-HD MA
Tomb Raider,,Native 4K,,HDR,,Dolby Atmos True-HD
Top Gun (1986),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Top Gun: Maverick (2022),June 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Total Recall (2012),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Touch of Evil (1958),April 2022,Native 4K,,HDR10,Dolby Vision,DTS-HD Master Audio 2.0 Mono
Toy Story (1995),,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Toy Story 2 (1999),,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Toy Story 3 (2010),,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Toy Story 4 (2019),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Trancers (1984),Aug 2022,Native 4K,,HDR10,,
Train to Busan Presents: Peninsula (2020),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Transformers (2007),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Transformers: Age of Extinction (2014),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Transformers: Dark of the Moon (2011),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Transformers: Revenge of the Fallen (2009),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Transformers: The Last Knight (2017),,,Upscaled 4K,HDR,Dolby Vision,Dolby Atmos True-HD
Transparent,,Native 4K,,HDR,,
Tremors (1990),,Native 4K,,HDR,Dolby Vision,5.1 DTS-HD-MA
Trolls (2016),,,Upscaled 4K,HDR,,"Dolby Atmos, True-HD 7.1"
Trolls World Tour (2020),,,Upscaled 4K,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Tropic Thunder (2008),Aug 2022,Native 4K,,HDR10,Dolby Vision,
Turning Red (2022),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Turtle Odyssey,,Native 4K,,HD10,,"DTS:X, DTS-HD 7.1"
Two Evil Eyes (1990),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Uncut Gems (2019),Feb 2022,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Unbreakable (2000),Jan 2022,Native 4K,,HDR10,,5.1 DTS-HD-MA
Uncharted (2022),May 2022,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Underworld - Blood Wars (2016),,Native 4K,,HDR,,"Dolby Atmos, True-HD 7.1"
Underworld (2003),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Unforgiven,,Native 4K,,HDR,,5.1 DTS-HD-MA
Universal Soldier (1992),,Native 4K,,HDR10+,Dolby Vision,TBC
Us (2019),,,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
V for Vendetta (2006),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Vacation,,,Upscaled 4K,HDR,,
Valerian and the City of a Thousand Planets,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Van Helsing (2004),,,Upscaled 4K,HDR,,"DTS:X, DTS-HD MA 7.1"
Venom (2018),,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Venom: Let There Be Carnage (2021),Feb 2022,,Upscaled 4K,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Verdi: Il Trovatore,,Native 4K,,,,5.1 DTS-HD-MA
Vertigo (1958) - Alfred Hitchcock,,Native 4K,,HDR10,,"DTS:X, DTS-HD MA 7.1"
VFW (2019),Feb 2022,Native 4K,,,,5.1 DTS-HD-MA
Video Game High School,,Native 4K,,,,
Vigilante (1982),,Native 4K,,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Voyagers (2021),,,Upscaled 4K,HDR10,Dolby Vision,Dolby True-HD 5.1
WALL•E (2008),Nov 2022,,Upscaled 4K,HDR10+,,
Wall Street,,Native 4K,,,Dolby Vision,"Dolby Atmos, True-HD 7.1"
War Dogs,,,Upscaled 4K,HDR,,
War for the Planet of the Apes (2017),,,Upscaled 4K,HDR,,Dolby Atmos True-HD
War of the Worlds (2005),,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Warcraft,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Warm Bodies,,,Upscaled 4K,HDR,,7.1
Warrior,,,Upscaled 4K,HDR,,Dolby Atmos True-HD
Watchmen,,,Upscaled 4K,HDR,,True-HD 5.1
Waterworld (1995),,Native 4K,,HDR10,,"DTS:X, DTS-HD MA 7.1"
We Are Your Friends,,,Upscaled 4K,HDR,,
Weathering with You (2019),,,Upscaled 4K,HDR,Dolby Vision,5.1 DTS-HD-MA
Welcome To Marwen,,Native 4K,,HDR,,
West Side Story (2021),May 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Westworld (TV Show),,Native 4K,,HDR,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Wet Hot American Summer: First Day of Camp,,Native 4K,,,,
Whiplash (2014),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Who Framed Roger Rabbit (1988),Aug 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Why Him?,,,Upscaled 4K,HDR,,7.1
Widows,,Native 4K,,HDR,,Dolby Atmos True-HD
Wild,,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Wild Things (1998),May 2022,Native 4K,,HDR10,Dolby Vision,5.1 DTS-HD-MA
Willy Wonka & the Chcolate Factory (1971),,Native 4K,,HDR10,,5.1 DTS-HD-MA
Wonder,,,Upscaled 4K,HDR,Dolby Vision,TrueHD 7.1 (No Atmos)
Wonder Woman 1984 (2020),,Native 4K,,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1"
Wonder Woman (2017) - WW84,,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Wonder Woman Bloodlines (2019),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
Wonders Of The Arctic,,Native 4K,,HDR,,7.1
X-Men (2000),,Native 4K,,HDR,,5.1 DTS-HD-MA
X-Men- The Last Stand (2006),,,Upscaled 4K,HDR,,6.1 DTS-HD-MA
X-Men: Apocalypse (2016),,Native 4K,,HDR,,Dolby Atmos True-HD
X-Men: Dark Phoenix (2019),,,Upscaled 4K,HDR10+,,"Dolby Atmos, True-HD 7.1"
X-Men: Days of Future Past (2014),,,Upscaled 4K,HDR,,7.1 DTS-HD-MA
X-Men: First Class (2011),,,Upscaled 4K,HDR,,5.1 DTS-HD-MA
X2: X-Men United (2003),,Native 4K,,,,5.1 DTS-HD-MA
X-Ray (1982),May 2022,Native 4K,,HDR10,,DTS-HD MA 2.0 Mono
Yesterday (2019),Feb 2022,Native 4K,,HDR10+,,"Dolby Atmos, True-HD 7.1"
Zac Synder's Justice League (2021),Feb 2022,Native 4K,,HDR10,,"Dolby Atmos, True-HD 7.1"
Zero Dark Thirty,,,Upscaled 4K,HDR,,7.1
Zombi: Dawn of the Dead (1978),,Native 4K,,,,5.1 DTS-HD-MA
Zombieland (2009),,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
Zootopia,,,Upscaled 4K,HDR10,,"Dolby Atmos, True-HD 7.1"
